tier,leagueId,queue,name,summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,accountId,puuid,profileIconId,revisionDate,summonerLevel
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,PUHWxuf40RdZ94QopA0yUrb4HEQkth5WF6hxf1VFmu4ROeyNiS-_qlDyHQ,2330,283,I,44,31,False,False,True,True,ltZ-YWAQn-L0OLf5bgavoFY3x4fMfKzhLiXC3RCKYVqNaLpNCCyyVskr,iXKcFFLnbGhyOzG9JniytSAfX8u43VsyotpOPOD4nN6iH07-FH4Vk_pQcQ4n9r9yfZNRK8az_qJClw,29,1642108645000,148
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,Ze8WyCpq4PCc1hsw8Dpws3lSVmIn7WqGkir5iFAm0v8TuaZU,패배룰까먹은사람,356,I,69,62,False,False,True,False,K9sUgiE4JVYfPUaBRTRPPimgm1BFDPLxxeGrDPxmSQamFbhmJNXiuC7B,tba9fzw2UIpj1uaTR9dtO10miRKfunIG0b9noIZ6V7KzM1bOPwjjDMX2iRs0LNhqKFeK8rkeTu2YxA,3371,1641960361000,69
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,f3uWCmoKFS2mVtgLulZL89BlMhbb8-5_A-eDXT6KKnpuyQ,Nierland,419,I,41,16,False,False,True,False,gZKiOMcx5EpownG28bjk44e94UPz0fhp-_UHSMzbCM0v,RQv5awF8Lrmq87uttFXiy4kuI86V5DGhFR5anSebgprc3m-2WMC4V_rmPsy6PKuqWZtw-HBYuphuWg,4779,1642155883850,316
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,2YG72AZ1_gfJwcyhp8lEdaRRPfmnC3JzidqQFypdnvaVRtkbvh2JFoosWg,Ke xi mei ru guo,276,I,72,62,False,False,True,False,QhRN9d4megX4QiRXP9cP_QQy8FpqRY2M-EL5BF97xzBGFFSKqQSydCyQ,rKTVP52SDDzoLvNUm1qF247qg_V49vKoMPGJSsKXSaL-hRItnurCaKidEYMVsI7PHQKrgKg2V_MBwQ,5182,1640994522000,158
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,9bm_MiGkr3XR5O4Nm21WCMYEXynFmPFZnoC0wDkLtUt2Hirx,j3el4njo,284,I,52,31,False,False,True,False,_9f_3oW4lpdGM2lZy9_WtZvadnQI4JkAbOMBgnqIUeBMLRt-AiW1ciek,J3W1HXphg5eAe05-VbNGW2MKhAfD78CT9KITk8Ax1hJrqSDRDvF4mwHxvAbNn_WCVv_MVgZ1qr-hwg,5117,1642151526072,132
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,D_4BOU4E-vGsnTZiexq0QsJNHGLRpnOO5Lf4AUnxb7MQh6E,쇼쵸표여,145,I,90,70,False,False,True,False,ffWd53zS_p29jUghswQG4K6lx2Wx3FaHyTAK8G5ni7vGVzo,DlnCVvtW4h7M5WAELsb8is5OJFvzEh5SILtd4MnZc4APaO185SnPfJEpHSG9dXY1MWQ9tABSmC_JhQ,7,1640739599000,239
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,bmhu5-4ietCPOenUuOBDjGIvNIDYN0jFWIEvX_mYhz9XrR4,FA Jini,271,I,74,71,False,False,True,False,bxghac8z57B20B8VBp64Lhj-uroxPLw7WKfuMSuX_lt94vmbA6oxdyt9,SWtLHZF8DqsEYg1VdWziQt7hczDK7Rml4R56actHNSOXDjOxu2l6out5Ek57z8PmVy4dtAYnJS_JYg,7,1642227375932,228
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,hBI_iJICjt15WPj3Hd8dBZdjTxW-0zlzRtQ8A-eQnBg7MB8,whtwht,287,I,66,44,False,False,True,False,-y04PciYeBG3ep67e1IikXwcT1-W-ACi6CXH2bSkTp2stcs,vC4uc3dMhptNIwAZdrJeuc7bAaVAzlkyUNJfB2YeRSCUXLtoyK6JiHrP8bQKu7KqfNdhJIHCR7i_Tw,4397,1641683976000,408
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,yIaBc0WPHgymEfhEyysUdQ8oHTcus2VQDUo2JeidkRrpaw,잘하자 이현2022,311,I,59,39,False,False,True,True,qOOgfbZxbUGWvku-h67bQR7xrqA735l8yLYmq3Ln1-9u,2B9InQ7xthfthgKTZ3yaBT6bEEmGIXJEfjsTtOQWV5fjhyyomqw5edaldwm3eskdDkN8B3c0LTWEtQ,5096,1641811454404,702
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,UyC05wGmfUi5BrHzOc7BbJInlFgIH-_-0KPqgjml0wKY6TE,Uneasy12,250,I,58,49,False,False,True,False,42qeL4Iia4z13qUSIK5kUsx0WSx3lz-38wYYRA0t4EnGq56ajPM6clU2,POn3U_AdzQDTolAPKIyNlM-hagLaMitHGCmHz3OOrdslK4XL9fLuTe_Fv4swyuglKvmalCFYLyQ51A,4817,1641503786000,464
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,3oGXI8JfHpfJaELaR_ors6_dKjmSlnYe8n_oGV0aAKdHt6A,Yaoyao1013,207,I,48,38,False,False,True,True,Kh5UIcUYxIRIfnsoi2guq3PMs8WFgAI4DswbNg6bgUNd13rbzo99xLnt,sFs2VdpUa2ivkepaWxaZDETRHBwf1d5iiBspjEVonspXwkee5rkDGDoWf0ivlGpWfjbWcqZHFZuJtA,7,1641975326000,219
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,HlwM4dWmOCA-BAuyMAnoZ7jeVD7CxiHHkfSlhdFPLyMZF3U,하루종일 졸리다,208,I,56,38,False,False,True,False,DDoP4nioaJE2hfx0wgFt6zmQkjmw0-jKj91d9XHGIdLqd1Y,mcyIKaw6DZzC6dncpJsKyfX2J2pBiRIdrQm65-HACIXLeTSroxxFsTBAGwwBLX1CcIigKKoRg4e8oA,5089,1642248269702,216
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,Iccp27eGEjKcBgDVSfuZsFEtkrZVPRKxU6s-NRkJ2qkSVOhnEuxsJE96dg,LinaBell,417,I,50,36,False,False,True,False,gbTye4bxLSumNjH17KEoNlVJRsAqDwKUsKTaykfsRLAzQo7xSKRbHAlk,PE-JUlL_o1tZK5tMKXaIICtFl0Fj8YJJNiooFKEQEFk0uyrQkBYCyxzE_q-ZSoPF2Ijvt2wz1GT9Ow,5182,1641287780000,123
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,vXYAv8XNeprU9KkVICCegmhrSiWGr4WOs-svVX0-gaqWXNE,강아지 FA,347,I,49,30,False,False,True,True,igNMDHTaGsNhc2hSlfOMhHfgnephWUtanXEBFWjhQWwuZWuXVeJXD2nm,3ascR3eQpE1ZIKPUL-yhTfS63vv9dxE04SSypsOJUsknLUVVHOMr0qmMX2L1dIhI9IjKb7MnF4ga0Q,4562,1641385357000,341
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,kwW6WCFlmXZxMkNAE1VQGh5T1Wv-RHXtUHj3gA9-cFrmQbcAF74LqfMZHw,qweioqwer,245,I,49,45,False,False,True,False,6bfmuMWxACcEYKs7vIc967fNg59G-AQ9bnfT-88wR05ZsVdTfnSkPkn9,uEHKf8emN7xuqWuLHURWVBAru9817gtAK4R5sgFA1inMleNXru0IbfUdcW8AGOkwIj1QwlHUtAR9Tg,4902,1641800363000,216
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,2Wty_sSeCoCAFyGRFfQl4SrI1AAdhFJcVoJmQH0P8nZndxo,왁컬로이두,262,I,31,17,False,False,True,False,pMyXncyfhmQMGB-xmXx6nFhg70OM09YLLvu9ulQC_LvbG2k,22YoiBC4Ev5pzWsfKRC8CpLNUusDRq-EN5_U2xls6LeIFE3DmQChtbgyxCuByk-or3vHqdYmMmROeA,4027,1641279478000,174
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,7X6HYzXh6shH-kMIOMhctPkqKxpwDJWrZrexb8XzuRaFfCs,Death fr0m BeIow,214,I,63,53,False,False,True,True,mZU9syJqPVAjuUeOAUGLUlZt-yauDAzixi1Xfyk7N_q_waOmtBChFl_0,896KdHnUhbZJPAFs90ii8dPn_lVU4XuKwjSmBxHbOpcfjk3H2TlmQtcT-HiLRN2YPVvTHpyopWpdlA,3889,1642241716605,520
