id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel
bmhu5-4ietCPOenUuOBDjGIvNIDYN0jFWIEvX_mYhz9XrR4,bxghac8z57B20B8VBp64Lhj-uroxPLw7WKfuMSuX_lt94vmbA6oxdyt9,SWtLHZF8DqsEYg1VdWziQt7hczDK7Rml4R56actHNSOXDjOxu2l6out5Ek57z8PmVy4dtAYnJS_JYg,FA Jini,7,1642227375932,228
hBI_iJICjt15WPj3Hd8dBZdjTxW-0zlzRtQ8A-eQnBg7MB8,-y04PciYeBG3ep67e1IikXwcT1-W-ACi6CXH2bSkTp2stcs,vC4uc3dMhptNIwAZdrJeuc7bAaVAzlkyUNJfB2YeRSCUXLtoyK6JiHrP8bQKu7KqfNdhJIHCR7i_Tw,whtwht,4397,1641683976000,408
yIaBc0WPHgymEfhEyysUdQ8oHTcus2VQDUo2JeidkRrpaw,qOOgfbZxbUGWvku-h67bQR7xrqA735l8yLYmq3Ln1-9u,2B9InQ7xthfthgKTZ3yaBT6bEEmGIXJEfjsTtOQWV5fjhyyomqw5edaldwm3eskdDkN8B3c0LTWEtQ,잘하자 이현2022,5096,1641811454404,702
UyC05wGmfUi5BrHzOc7BbJInlFgIH-_-0KPqgjml0wKY6TE,42qeL4Iia4z13qUSIK5kUsx0WSx3lz-38wYYRA0t4EnGq56ajPM6clU2,POn3U_AdzQDTolAPKIyNlM-hagLaMitHGCmHz3OOrdslK4XL9fLuTe_Fv4swyuglKvmalCFYLyQ51A,Uneasy12,4817,1641503786000,464
3oGXI8JfHpfJaELaR_ors6_dKjmSlnYe8n_oGV0aAKdHt6A,Kh5UIcUYxIRIfnsoi2guq3PMs8WFgAI4DswbNg6bgUNd13rbzo99xLnt,sFs2VdpUa2ivkepaWxaZDETRHBwf1d5iiBspjEVonspXwkee5rkDGDoWf0ivlGpWfjbWcqZHFZuJtA,Yaoyao1013,7,1641975326000,219
HlwM4dWmOCA-BAuyMAnoZ7jeVD7CxiHHkfSlhdFPLyMZF3U,DDoP4nioaJE2hfx0wgFt6zmQkjmw0-jKj91d9XHGIdLqd1Y,mcyIKaw6DZzC6dncpJsKyfX2J2pBiRIdrQm65-HACIXLeTSroxxFsTBAGwwBLX1CcIigKKoRg4e8oA,하루종일 졸리다,5089,1642248269702,216
Iccp27eGEjKcBgDVSfuZsFEtkrZVPRKxU6s-NRkJ2qkSVOhnEuxsJE96dg,gbTye4bxLSumNjH17KEoNlVJRsAqDwKUsKTaykfsRLAzQo7xSKRbHAlk,PE-JUlL_o1tZK5tMKXaIICtFl0Fj8YJJNiooFKEQEFk0uyrQkBYCyxzE_q-ZSoPF2Ijvt2wz1GT9Ow,LinaBell,5182,1641287780000,123
vXYAv8XNeprU9KkVICCegmhrSiWGr4WOs-svVX0-gaqWXNE,igNMDHTaGsNhc2hSlfOMhHfgnephWUtanXEBFWjhQWwuZWuXVeJXD2nm,3ascR3eQpE1ZIKPUL-yhTfS63vv9dxE04SSypsOJUsknLUVVHOMr0qmMX2L1dIhI9IjKb7MnF4ga0Q,강아지 FA,4562,1641385357000,341
kwW6WCFlmXZxMkNAE1VQGh5T1Wv-RHXtUHj3gA9-cFrmQbcAF74LqfMZHw,6bfmuMWxACcEYKs7vIc967fNg59G-AQ9bnfT-88wR05ZsVdTfnSkPkn9,uEHKf8emN7xuqWuLHURWVBAru9817gtAK4R5sgFA1inMleNXru0IbfUdcW8AGOkwIj1QwlHUtAR9Tg,qweioqwer,4902,1641800363000,216
2Wty_sSeCoCAFyGRFfQl4SrI1AAdhFJcVoJmQH0P8nZndxo,pMyXncyfhmQMGB-xmXx6nFhg70OM09YLLvu9ulQC_LvbG2k,22YoiBC4Ev5pzWsfKRC8CpLNUusDRq-EN5_U2xls6LeIFE3DmQChtbgyxCuByk-or3vHqdYmMmROeA,왁컬로이두,4027,1641279478000,174
7X6HYzXh6shH-kMIOMhctPkqKxpwDJWrZrexb8XzuRaFfCs,mZU9syJqPVAjuUeOAUGLUlZt-yauDAzixi1Xfyk7N_q_waOmtBChFl_0,896KdHnUhbZJPAFs90ii8dPn_lVU4XuKwjSmBxHbOpcfjk3H2TlmQtcT-HiLRN2YPVvTHpyopWpdlA,Death fr0m BeIow,3889,1642241716605,520
12axPragIGvp4yzIChddZkkLii5kF_cSgx_fSMXIsoZPHJ3HvzpvBK1XwQ,9AhaQ1cjZG5hjiQuRwAVNFDcjhRJHBUaBNk9gbD4D-gMUg0PEOMVIdD2,ek3i9vKc76Dsot3CVIn01P3Y1lNLI1K0i9PPeHDuEpL1iG0-sO2HOCrcRGBxRYVKSLd7yw8EFzTmlg,2019BLGJAlielie,22,1640940918000,195
