tier,leagueId,queue,name,summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,FcpH_fJoyD6WPOoQ8BadjcDmCBbgOUCbasxcjM-PHgwZ0-o,열심히해볼생각,211,I,67,67,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,n-KeuA9Azn0zbCvkG4YitAodrsLrQ2Gni3u2sPh_oWOTbRQB7tGyrO9HAg,남장구,275,I,83,67,False,False,True,True
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,R1GF-N5uVvzFshdsdf7PLddTojgJQoUcu395X51Yl3OB5j6rTaY8BMy0Lg,ClearLove9,321,I,86,66,False,False,True,True
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,RtV9luI2jMwcEd7t8Sej24BINlpCxC0lbr8OyyjCKZyIWro,Juhana,169,I,48,42,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,Ni-P_iFmpydYw7WwREegedJKrLSkgQgHTKEdD0wtTqaIAas,jkjkjkjkk,205,I,59,53,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,5hKTxh3QBBe1kHAKSbHtBuBxlZixgT7AX97s5Dbhfxnwux3Aciatd9jFJA,jrejke,314,I,56,43,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,3FrLW8UyKweddHV8pwHYr4qnC2YYWYavdU4jlwM4jcfK4-fC4JbTE6A3WA,꽃바다인질,340,I,48,22,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,QfKv2xXDZEly8eE8IuqAZxk9-UZx1t9PtmMeNazBlx6ywqAZtFCAiMT34Q,JUNGIE GOD 12,97,I,72,64,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,q0fFrc7Ge9IlT_8WqbphodlK-JYkrxj_2Q-1E2vI4SKOE_3TAyafV9OZ-A,123344,232,I,49,40,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,bR0q_B2IYhvrIUlgxAm_OwchIFVT1sTN5KSRRbG6uYrhZK0,Crulser,218,I,57,49,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,H_hUYIVCsRAg_UiO6WIToQwvdRNJHypxX0o-nKVLbtUnBDo,Migung,334,I,60,51,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,mXv8unozmscsLz1K95xGlQYX_659QOoUoTzFx-Uh9beKmAf9-2hdjSSOKw,13322133312311,387,I,49,31,False,False,True,True
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,T75TxjtT67OljswlSETeH56iyDRjmSRBl3rtQL-Gb4MIyy5jj4y7gCLfZg,죽여주마1,278,I,37,25,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,ojVMNWgzBrKPPEiDtNuOglxB4KG83_KTDaw0sh2hR7oca5D_Z2thbEzvSg,Ahnananananan,295,I,51,39,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,rnDmfxjm8GyrebPqZxXXoqBRXlME8M26QGWDept_FoIQRHBT6V6h9vRYDg,yunqigame,447,I,87,70,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,CdhSW34UKDcUDvgdr-cWcy33rHld9kIUMNnzYtGpPsW9Anpb,Pier0,326,I,56,50,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,4Sdjvi2D-qy32MynsFgqfnNwM4Qy21urOcmRird4koTcAw,No longer love,379,I,54,43,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,VJb2Sf-udRlYiU0BnhbfR9KHYYneY4pYJyLqtKAOpJg8Xyc,은가뉴,304,I,39,26,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,61Er98-70VgNVtYxHGc9-0Le0vc_t_envhHUJVudlJefqec,xbtb,466,I,48,30,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,I9tjMZB33i71cBN5Pe62ZfSZ19PLB5R7TwrZDzCJO7nBJ3JritcyPPLpiQ,Azh1,322,I,46,33,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,rXdJomFjya0oiYhuXXBW4HntIgZQV0rJOjNEYQ2OCpvjZNs,버기해적단 버기,400,I,70,54,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,qLMvmWMmnJRKGP--xIt4_OM-KRyAnPYz_Sl3XjIP4-WfkXI,kai xin xiao zi,145,I,56,51,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,8qlsrn0rtKNgQI1uxRGB0Z-HTu3fQMxbfbroKTooqZHO6KDNSWdCL4ieww,kimchi warrior12,331,I,44,29,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,w8TyD3tQ9pUTv60nxx3Z8RDF64Ak1Yx_B3oVzDN_wQjxGd0MjEPManjEZg,일찍 잠자리에 ,351,I,54,38,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,mNNMQIPuUowFGz7xFqQy8dsJCdaZ-97EsW93kKJHgvneXm0,개미1,277,I,90,74,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,PPk2K0adhdoZjU2-mwQxByeBTWYEN93LQjcETNmj0bBQaDUcT4r4rkHWrw,xingluo,228,I,57,45,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,US8xLdiGgIO9ou-Lb5RRhhzUcDCDeyXNekaneDnRGLqB-J8fV4PD9ZdWDQ,호감 에서 나오다,449,I,76,59,False,False,True,True
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,hxdkwZVnsoLamVqv-kGYVjwBvDFilZ0jRJseJEitA8tjuYs,레넥톤 장인,320,I,86,71,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,WakCm6xEWl6hQOme0MdrngcJLcLL_mJFxVPlniNuqhGtabWbXYJsK30law,재훈이의모햄,292,I,48,34,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,qWQfrJB1eLxypaKc-JTBigoMbdQ4NVlUEzHUXsEJlFss7IQX7bhCplSetQ,땅에 묻히다,334,I,52,41,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,ZkAWcOapEr9xmxYknixkp9S0f4fDYcSSVedXkgivN9J35t8lLCyOwV4zNA,deathh,312,I,49,37,False,False,True,True
